feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
specialtypowder,0.0,1.0,MEU,Model 1,
otherdairypowder,0.0,0.9097729796023909,MEU,Model 1,
"Quantitative - Density, bulk free flow - Max",0.0,0.79091579475658,MEU,Model 1,
"Nutrient Composition - Available Carbohydrate, g (MX calculation) - Value - %",0.0,0.42367285989924086,MEU,Model 1,
otherdairy,0.0,0.3783011382225921,MEU,Model 1,
creamy,0.0,0.37306555560960825,MEU,Model 1,
"Nutrient Composition - Available Carbohydrate, g - Value - %",0.0,0.2825340242428219,MEU,Model 1,
cream,0.0,0.2625470688967455,MEU,Model 1,
"Nutrient Composition - Moisture, g - Value - %",0.0,0.23995505056864413,MEU,Model 1,
powder,0.0,0.22140501711212057,MEU,Model 1,
Standard Composition - MILK - Value - %,0.0,0.21486059733291743,MEU,Model 1,
"Nutrient Composition - Total Fat, g - Value - %",0.0,0.21456263925546257,MEU,Model 1,
dairy,0.0,0.20866421379798042,MEU,Model 1,
"Quantitative - Density, bulk tapped - Max",0.0,0.1845243908343555,MEU,Model 1,
taste,0.0,0.1775797633276394,MEU,Model 1,
milky,0.0,0.17292856580047208,MEU,Model 1,
others,0.0,0.16095507896416852,MEU,Model 1,
"Nutrient Composition - Lactose, g - Value - %",0.0,0.14229244525978393,MEU,Model 1,
wholemilkpowder,0.0,0.13947452503341518,MEU,Model 1,
characteristic,0.0,0.13936390502876497,MEU,Model 1,
liquiddairy,0.0,0.1380484877610841,MEU,Model 1,
"Nutrient Composition - Protein, g - Value - %",0.0,0.1365951747092311,MEU,Model 1,
milk,0.0,0.1314925194621128,MEU,Model 1,
calcium,0.0,0.12870316674822452,MEU,Model 1,
aroma,0.0,0.12255762203919815,MEU,Model 1,
skimmed,0.0,0.1224981491226248,MEU,Model 1,
replacer,0.0,0.11215354425313186,MEU,Model 1,
cheese,0.0,0.1101047179424886,MEU,Model 1,
Standard Composition - WHEY - Value - %,0.0,0.10419725114817502,MEU,Model 1,
Standard Composition - SUGAR - Value - %,0.0,0.0973279325645566,MEU,Model 1,
Standard Composition - SKIM MILK - Value - %,0.0,0.095318051916678,MEU,Model 1,
flowing,0.0,0.08827177721277397,MEU,Model 1,
naturalcheese,0.0,0.08249532777957541,MEU,Model 1,
clean,0.0,0.07931541014314022,MEU,Model 1,
Standard Composition - MICROBIAL RENNET - Value - %,0.0,0.07772661545276802,MEU,Model 1,
light,0.0,0.07736597137909097,MEU,Model 1,
sweetenedcondensedmilk,0.0,0.07640530973665624,MEU,Model 1,
othernaturalcheese,0.0,0.07538470353159135,MEU,Model 1,
whey,0.0,0.0726313152412539,MEU,Model 1,
yoghurtpowder,0.0,0.06954296112452771,MEU,Model 1,
cheesepowder,0.0,0.06945000552336249,MEU,Model 1,
without,0.0,0.06629604714284118,MEU,Model 1,
flavours,0.0,0.06602202260342876,MEU,Model 1,
strong,0.0,0.06579663621328392,MEU,Model 1,
condensed,0.0,0.06551994640247784,MEU,Model 1,
alpine,0.0,0.06489452057243106,MEU,Model 1,
Standard Composition - STARTER CULTURE - Value - %,0.0,0.06391461491748007,MEU,Model 1,
slightly,0.0,0.06369679136147491,MEU,Model 1,
blend,0.0,0.06307124696726132,MEU,Model 1,
sweet,0.0,0.06245179422106078,MEU,Model 1,
frm,0.0,0.059094802974359026,MEU,Model 1,
fine,0.0,0.057146017910134406,MEU,Model 1,
liquid,0.0,0.05519859503353913,MEU,Model 1,
whole,0.0,0.05498788499302436,MEU,Model 1,
Standard Composition - YOGURT - Value - %,0.0,0.05427806448967825,MEU,Model 1,
lumps,0.0,0.054255179269599454,MEU,Model 1,
tste,0.0,0.05367112749777051,MEU,Model 1,
heat,0.0,0.05312341198181588,MEU,Model 1,
mineral,0.0,0.052298501699873136,MEU,Model 1,
treated,0.0,0.04949492384865137,MEU,Model 1,
Standard Composition - SALT - Value - %,0.0,0.04877666078079417,MEU,Model 1,
Standard Composition - BUTTER - Value - %,0.0,0.048694120475295276,MEU,Model 1,
smell,0.0,0.04744790629458026,MEU,Model 1,
anhydrousmilkfat,0.0,0.047366281330747516,MEU,Model 1,
rancid,0.0,0.046448470438462335,MEU,Model 1,
metallic,0.0,0.045397164487756006,MEU,Model 1,
odours,0.0,0.044970991788534434,MEU,Model 1,
Standard Composition - LACTOSE AND MILK PROTEINS - Value - %,0.0,0.04490372507319689,MEU,Model 1,
solid,0.0,0.0442363036448517,MEU,Model 1,
sweetened,0.0,0.04394363604525996,MEU,Model 1,
meals,0.0,0.04360363016200781,MEU,Model 1,
sugar,0.0,0.043260596861035186,MEU,Model 1,
free,0.0,0.043107952699230484,MEU,Model 1,
skimmilkpowder,0.0,0.04182225957010521,MEU,Model 1,
salty,0.0,0.041468650111690944,MEU,Model 1,
yoghurt,0.0,0.040820834566173685,MEU,Model 1,
viscous,0.0,0.0405723661528333,MEU,Model 1,
plain,0.0,0.04020427295836132,MEU,Model 1,
homogenous,0.0,0.03974996207382734,MEU,Model 1,
wheypowder,0.0,0.03901372222746876,MEU,Model 1,
wholemilk,0.0,0.039010465185725846,MEU,Model 1,
far,0.0,0.03777375841674063,MEU,Model 1,
filling,0.0,0.03735626951133677,MEU,Model 1,
typical,0.0,0.037053800892493764,MEU,Model 1,
products,0.0,0.03619615702011333,MEU,Model 1,
fresh,0.0,0.03464587381658713,MEU,Model 1,
concentrate,0.0,0.03366454999194849,MEU,Model 1,
neutral,0.0,0.03316234931545609,MEU,Model 1,
sourish,0.0,0.03291128179751418,MEU,Model 1,
natural,0.0,0.032268864313133576,MEU,Model 1,
vegetarian,0.0,0.031504892703410205,MEU,Model 1,
wheyingredients,0.0,0.0314537124918356,MEU,Model 1,
pwdr,0.0,0.030745565953140607,MEU,Model 1,
butterfat,0.0,0.030700617364094802,MEU,Model 1,
tablets,0.0,0.03006262596568272,MEU,Model 1,
flavor,0.0,0.027536022678040496,MEU,Model 1,
sour,0.0,0.026459552452018715,MEU,Model 1,
fat,0.0,0.025928391885315098,MEU,Model 1,
skim,0.0,0.02501344794762162,MEU,Model 1,
toffee,0.0,0.02318022594591432,MEU,Model 1,
Standard Composition - YOGURT POWDER - Value - %,0.0,0.02285561091690202,MEU,Model 1,
fishy,0.0,0.022647266675646212,MEU,Model 1,
cheeseingredients,0.0,0.022197759827178073,MEU,Model 1,
Standard Composition - LACTOSE - Value - %,0.0,0.021893339955859875,MEU,Model 1,
Standard Composition - SILICON DIOXIDE - Value - %,0.0,0.021395340484752574,MEU,Model 1,
Standard Composition - TRICALCIUM ORTHOPHOSPHATE - Value - %,0.0,0.02020972211155411,MEU,Model 1,
flavour,0.0,0.019782434016861996,MEU,Model 1,
plast,0.0,0.018876007545711945,MEU,Model 1,
watery,0.0,0.018766508003550033,MEU,Model 1,
Standard Composition - PALM OIL - Value - %,0.0,0.018233028036266016,MEU,Model 1,
ingredient,0.0,0.018091798441377482,MEU,Model 1,
typ,0.0,0.016971200129917065,MEU,Model 1,
butterlike,0.0,0.016933808875558252,MEU,Model 1,
liquidy,0.0,0.016604080154193825,MEU,Model 1,
similar,0.0,0.016059260955434602,MEU,Model 1,
fluid,0.0,0.01605191369512396,MEU,Model 1,
firm,0.0,0.015038578816412188,MEU,Model 1,
homogeneous,0.0,0.014801071572436196,MEU,Model 1,
