,Specification Number,Specification description,Region,Type,Volume,Spend,Cluster name,Level 0,Level 1,Level 2,Level 3,nc_Model 1,nc_Model 2,nc_Model 3,nc_Model 4,nt_Model 1,nt_Model 2,nt_Model 3,nct_Model 1,nct_Model 2,nct_Model 3,nct_Model 4
0,200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,Global,ward_euclidean,24500.0,72278.45181001083,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,13,3,13,15,14,4,14,13,9,13,11
1,200000006627,"ACID,CITRIC,50% SOLN",Global,ward_euclidean,176334.0,302549.66485078516,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN",3,1,3,3,4,2,4,7,1,3,8
2,200000006843,ACID-CITRIC ACID- ANHYDROUS-CRYSTALS,Global,ward_euclidean,473550.0,966613.3889638338,,ACID,CITRIC ACID, ANHYDROUS,CRYSTALS,5,4,5,12,1,17,1,5,0,5,0
3,200000006844,"ACID,CITRIC ACID- ENCAPSULATED 35%",Global,ward_euclidean,9700.0,100291.8410139909,,"ACID,CITRIC ACID", ENCAPSULATED 35%, ENCAPSULATED 35%, ENCAPSULATED 35%,0,2,0,1,6,0,6,1,2,0,0
4,200000006846,"ACID,CITRIC,ENCAPS,NGM",Global,ward_euclidean,15700.0,130197.28059756044,,"ACID,CITRIC,ENCAPS,NGM","ACID,CITRIC,ENCAPS,NGM","ACID,CITRIC,ENCAPS,NGM","ACID,CITRIC,ENCAPS,NGM",9,9,9,12,1,0,1,9,8,9,0
5,200000007251,ACID-POWDER-CITRIC ACID NON-GMO,Global,ward_euclidean,197968.953,619898.4269095736,,ACID,POWDER,CITRIC ACID NON,GMO,10,0,10,0,2,10,2,10,0,10,0
6,200000007252,ACID-POWDER-CITRIC,Global,ward_euclidean,11050.0,24159.82301147233,,ACID,POWDER,CITRIC,CITRIC,10,0,10,0,11,10,11,10,0,10,0
7,200000007732,DONOT USE- CITRIC ACID-THIS WILL BE HARMONIZED TO 200000006843,Global,ward_euclidean,85550.0,234842.58771740977,,DONOT USE, CITRIC ACID,THIS WILL BE HARMONIZED TO 200000006843,THIS WILL BE HARMONIZED TO 200000006843,12,5,12,6,3,3,3,12,4,12,13
8,200000007977,CITRIC ACID MONOHYDRATED-PROPOSED HARMONIZE TO 25000676,Global,ward_euclidean,7900.0,17645.24331923014,,CITRIC ACID MONOHYDRATED,PROPOSED HARMONIZE TO 25000676,PROPOSED HARMONIZE TO 25000676,PROPOSED HARMONIZE TO 25000676,5,4,5,12,5,6,5,5,10,5,14
9,200000008049,CITRIC ACID POWDER ANHYDROUS-POWDER,Global,ward_euclidean,2300.0,12165.359197632693,,CITRIC ACID POWDER ANHYDROUS,POWDER,POWDER,POWDER,0,2,0,17,17,18,17,1,2,0,3
10,200000000088,"Acid- Citric Acid, Anhydrous",Global,ward_euclidean,57025.0,91702.48310310247,,Acid," Citric Acid, Anhydrous"," Citric Acid, Anhydrous"," Citric Acid, Anhydrous",1,6,1,0,11,0,11,3,5,1,0
11,200000000574,ACID-GRANULAR-CITRIC ACID,Global,ward_euclidean,49750.0,91850.57433387084,,ACID,GRANULAR,CITRIC ACID,CITRIC ACID,7,4,7,14,10,9,10,0,0,7,15
