Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,Global,ward_euclidean,24500.0,72278.45181001083,13,9,13,11,200000002395,0.9999999999999998,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,Global,ward_euclidean,24500.0,72278.45181001083,13,9,13,11,200000006627,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,Global,ward_euclidean,24500.0,72278.45181001083,13,9,13,11,200000006843,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,Global,ward_euclidean,24500.0,72278.45181001083,13,9,13,11,200000006844,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,Global,ward_euclidean,24500.0,72278.45181001083,13,9,13,11,200000006846,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,Global,ward_euclidean,24500.0,72278.45181001083,13,9,13,11,200000007251,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,Global,ward_euclidean,24500.0,72278.45181001083,13,9,13,11,200000007252,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,Global,ward_euclidean,24500.0,72278.45181001083,13,9,13,11,200000007732,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,Global,ward_euclidean,24500.0,72278.45181001083,13,9,13,11,200000007977,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,Global,ward_euclidean,24500.0,72278.45181001083,13,9,13,11,200000008049,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
