Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3,Level 4
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,45,29,45,45,200000000032,1.0,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,45,29,45,45,200000000618,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,45,29,45,45,200000000983,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,45,29,45,45,200000002530,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,45,29,45,45,200000002834,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,45,29,45,45,200000002993,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,45,29,45,45,200000003701,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,45,29,45,45,200000005523,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,45,29,45,45,200000005888,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,45,29,45,45,200000005979,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,45,29,45,45,200000006884,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
