Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3,Level 4
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000000032,0.9999999999999998,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000000618,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000000983,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000002530,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000002834,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000002993,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000003701,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000005523,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000005888,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000005979,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000006884,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000006976,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000007914,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000008083,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000008226,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000010430,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000000023,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000000086,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000000597,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000001163,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000001165,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000001558,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000001560,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000001909,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000001967,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000003707,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000004647,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000004945,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000005562,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000005581,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000005617,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000008084,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000000107,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000000178,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000000381,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000000512,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000000669,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000001864,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000001966,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000002371,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000002516,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000005824,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,53,13,53,200000006224,,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I
