feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
Allergens - Crustacean (Brazil definition) - Exception Value Desc._Not Applicable,0.0,1.0,MEU,Model 1,
Allergens - Soya (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.6758252832009175,MEU,Model 1,
Allergens - Oat (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.6060873754645202,MEU,Model 1,
Allergens - Egg (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.47024808446948113,MEU,Model 1,
Allergens - Hickory Nut and Pecan (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.46917517093392896,MEU,Model 1,
Allergens - Natural Latex (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.4662446681106169,MEU,Model 1,
"Quantitative - Ash, sulphated - Minimum Testing Frequency_Not Applicable",0.0,0.45266999889765985,MEU,Model 1,
Allergens - Pine Nut (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.44008893332752197,MEU,Model 1,
Quantitative - Oxalates - Certificate of Analysis (CoA)_Not Applicable,0.0,0.4383592405418838,MEU,Model 1,
Allergens - Pistachio (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.43133278172499384,MEU,Model 1,
Allergens - Chestnut (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.4190799704729407,MEU,Model 1,
GM Assessment - absence of GM contamination - Derived From GM Crop(s)_No,0.0,0.4062335474898462,MEU,Model 1,
Allergens - Hazelnut (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.4023288006056186,MEU,Model 1,
"Quantitative - Ash, sulphated - Max",0.0,0.3976905052519959,MEU,Model 1,
"Quantitative - Ash, sulphated - Minimum Testing Frequency_per month",0.0,0.3868757711283299,MEU,Model 1,
Allergens - Fish (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.37938377269175183,MEU,Model 1,
Allergens - Brazil Nut (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.3745060220603914,MEU,Model 1,
Quantitative - Oxalates - Minimum Testing Frequency_Not Applicable,0.0,0.37148560287280835,MEU,Model 1,
Allergens - Cashew (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.36618366601460484,MEU,Model 1,
Allergens - Pistachio (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.364559841836801,MEU,Model 1,
Allergens - Oat (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.3644923507744026,MEU,Model 1,
