feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
Allergens - Fish (Brazil definition) - Exception Value Desc._Not Applicable,0.0,1.0,MEU,Model 1,
Allergens - Barley (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.9626866189918845,MEU,Model 1,
Allergens - Fish (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.9230261373207285,MEU,Model 1,
Allergens - Milk (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.8396348065399287,MEU,Model 1,
Allergens - Peanut (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.8100725836737946,MEU,Model 1,
Allergens - Cashew (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.6870070899386602,MEU,Model 1,
Allergens - Barley (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.6449879112250089,MEU,Model 1,
Allergens - Natural Latex (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.6350001523319988,MEU,Model 1,
Allergens - Chestnut (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.622846983159259,MEU,Model 1,
Allergens - Hickory Nut and Pecan (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.5883090275984406,MEU,Model 1,
Allergens - Almond (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.5823415385432434,MEU,Model 1,
Allergens - Macadamia (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.5822509434235715,MEU,Model 1,
"Standard Composition - CITRIC ACID - Value, %",0.0,0.49620659655806626,MEU,Model 1,
Allergens - Crustacean (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.49599981791489794,MEU,Model 1,
Allergens - Chestnut (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.48191434471686206,MEU,Model 1,
Quantitative - Moisture - Max,0.0,0.4793542048381529,MEU,Model 1,
Allergens - Ethylene Oxide - Exception Value Desc._Does Not Contain,0.0,0.4551006967959092,MEU,Model 1,
Quantitative - Oxalates - Minimum Testing Frequency_per month,0.0,0.44232290654723544,MEU,Model 1,
min,0.0,0.42743323574997283,MEU,Model 1,
Quantitative - Moisture - Certificate of Analysis (CoA)_Not Applicable,0.0,0.4272444833904246,MEU,Model 1,
Allergens - Soya (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.425278957480025,MEU,Model 1,
"Quantitative - Ash, sulphated - Analytical Reference Method_Not Applicable",0.0,0.4212030449583226,MEU,Model 1,
Allergens - Ethylene Oxide - Exception Value Desc._Not Applicable,0.0,0.4014976499641519,MEU,Model 1,
"Quantitative - Ash, sulphated - Max",0.0,0.3957651633358066,MEU,Model 1,
Allergens - Rye (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.38424812129902547,MEU,Model 1,
Allergens - Almond (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.3680439836679778,MEU,Model 1,
"Quantitative - Ash, sulphated - Minimum Testing Frequency_per month",0.0,0.3677067781675673,MEU,Model 1,
Allergens - Egg (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.363083762940371,MEU,Model 1,
Allergens - Wheat (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.3610725022607441,MEU,Model 1,
"Quantitative - Ash, sulphated - Minimum Testing Frequency_Not Applicable",0.0,0.357246814896779,MEU,Model 1,
GM Assessment - absence of GM contamination - Contains GM DNA/Protein_No,0.0,0.3537357161192101,MEU,Model 1,
Quantitative - Solubility - Analytical Reference Method_Not Applicable,0.0,0.3520008497304762,MEU,Model 1,
GM Assessment - Unavoidable GM contamination is less than or equal to 0.9% - Contains GM DNA/Protein_Not Applicable,0.0,0.34892656844381537,MEU,Model 1,
Quantitative - Moisture - TXT: Key Testing Details_Not Applicable,0.0,0.3475565142258363,MEU,Model 1,
GM Assessment - absence of GM contamination - Derived From GM Crop(s)_Not Applicable,0.0,0.34430674258603844,MEU,Model 1,
Quantitative - Moisture - Minimum Testing Frequency_Not Applicable,0.0,0.33139488568469677,MEU,Model 1,
Quantitative - Oxalates - Analytical Reference Method_JECFA,0.0,0.32437853975335057,MEU,Model 1,
Allergens - BHA - Exception Value Desc._Does Not Contain,0.0,0.3179144036787629,MEU,Model 1,
Allergens - Brazil Nut (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.3158700615882166,MEU,Model 1,
Quantitative - Moisture - TXT: Key Testing Details_Titration,0.0,0.30911980820369256,MEU,Model 1,
water,0.0,0.30789169476973194,MEU,Model 1,
Quantitative - Oxalates - Max_0.0,0.0,0.2994965094033045,MEU,Model 1,
Allergens - Egg (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.29935650619152565,MEU,Model 1,
Allergens - Walnut (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.29761809925914123,MEU,Model 1,
Quantitative - Oxalates - Analytical Reference Method_Not Applicable,0.0,0.2914630710376747,MEU,Model 1,
Quantitative - Moisture - Minimum Testing Frequency_per batch,0.0,0.27133205765883217,MEU,Model 1,
Allergens - Hickory Nut and Pecan (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.26962129303971316,MEU,Model 1,
GM Assessment - absence of GM contamination - Contains GM DNA/Protein_Not Applicable,0.0,0.26089912106003876,MEU,Model 1,
Allergens - Hazelnut (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.26001752569106984,MEU,Model 1,
GM Assessment - Unavoidable GM contamination is less than or equal to 0.9% - Contains GM DNA/Protein_No,0.0,0.2584515938136587,MEU,Model 1,
Allergens - Soya (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.2579307292466355,MEU,Model 1,
"Quantitative - Ash, sulphated - Analytical Reference Method_FCC;JECFA",0.0,0.25236995140603835,MEU,Model 1,
Allergens - Wheat (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.22372533040407538,MEU,Model 1,
Allergens - Walnut (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.2230400878054826,MEU,Model 1,
others,0.0,0.22199734712122188,MEU,Model 1,
Allergens - Pine Nut (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.2208276448760796,MEU,Model 1,
"Particle size tests - Particle size, >850µm (#20) - Analytical Reference Method_Not Applicable",0.0,0.2090336971241934,MEU,Model 1,
Allergens - Walnut (Brazil definition) - Exception Value Desc._Not Reviewed,0.0,0.20729174964815847,MEU,Model 1,
Allergens - Shea Nut (Taiwan Definition) - Exception Value Desc._Not Applicable,0.0,0.19621890708218015,MEU,Model 1,
GM Assessment - absence of GM contamination - Derived From GM Crop(s)_No,0.0,0.1924389025209546,MEU,Model 1,
Allergens - Brazil Nut (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.18481637855492705,MEU,Model 1,
"Quantitative - Ash, sulphated - Certificate of Analysis (CoA)_Not Applicable",0.0,0.1842820288132166,MEU,Model 1,
Allergens - Pistachio (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.18210027578306073,MEU,Model 1,
Allergens - Yam (Japanese definition) - Exception Value Desc._Does Not Contain,0.0,0.1795720823841592,MEU,Model 1,
Quantitative - Solubility - Certificate of Analysis (CoA)_Not Applicable,0.0,0.17611364444790717,MEU,Model 1,
Allergens - Crustacean (Brazil definition) - Exception Value Desc._Not Reviewed,0.0,0.1742969487030668,MEU,Model 1,
Allergens - Chestnut (Brazil definition) - Exception Value Desc._Not Reviewed,0.0,0.17362057258177704,MEU,Model 1,
acid,0.0,0.1661973579716635,MEU,Model 1,
Allergens - Rye (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.16306327836639317,MEU,Model 1,
"Storage - Drum/Barrel/Keg - Storage Condition_Dry Storage (+10 to 25 °C / 50 to 77 °F, Relative Humidity <=65%)",0.0,0.16283084397479367,MEU,Model 1,
Allergens - Crustacean (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.15996176212857482,MEU,Model 1,
Quantitative - Assay (anhydrous basis) - Certificate of Analysis (CoA)_Not Applicable,0.0,0.15677527284314505,MEU,Model 1,
Allergens - Almond (Brazil definition) - Exception Value Desc._Not Reviewed,0.0,0.1557587282911907,MEU,Model 1,
Diet Suitability - Organic Certified (NA) - Exception Value Desc._No,0.0,0.14310229243392633,MEU,Model 1,
monograph,0.0,0.1387484339129364,MEU,Model 1,
Allergens - Added Sulphites - Exception Value Desc._Does Not Contain,0.0,0.13757136408295495,MEU,Model 1,
"Shipping - Bag/Pouch/Sachet - Shipping Condition_Dry Storage (+10 to 25 °C / 50 to 77 °F, Relative Humidity <=65%)",0.0,0.13612547349502657,MEU,Model 1,
"Particle size tests - Particle size, >200µm - Certificate of Analysis (CoA)_Not Applicable",0.0,0.13609652922645832,MEU,Model 1,
colour,0.0,0.13255795427387873,MEU,Model 1,
Allergens - Milk (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.13158926153110811,MEU,Model 1,
Allergens - Cashew (Brazil definition) - Exception Value Desc._Not Reviewed,0.0,0.13125513536889302,MEU,Model 1,
citric,0.0,0.13034865503598078,MEU,Model 1,
Quantitative - Solubility - Analytical Reference Method_JECFA,0.0,0.12840667662604363,MEU,Model 1,
Allergens - Grapefruit - Exception Value Desc._Not Applicable,0.0,0.12736152559302402,MEU,Model 1,
anhydrous,0.0,0.1261650397187719,MEU,Model 1,
Allergens - Pine Nut (Brazil definition) - Exception Value Desc._Not Applicable,0.0,0.12460943377855667,MEU,Model 1,
Quantitative - PH - Certificate of Analysis (CoA)_Not Required,0.0,0.12389590584899615,MEU,Model 1,
Allergens - Grapefruit - Exception Value Desc._Does Not Contain,0.0,0.12270108075094935,MEU,Model 1,
Diet Suitability - Organic Certified (EU) - Exception Value Desc._Not Applicable,0.0,0.11865879148600414,MEU,Model 1,
Allergens - Soya (Brazil definition) - Exception Value Desc._Not Reviewed,0.0,0.11551613750291359,MEU,Model 1,
Allergens - Cinnamon - Exception Value Desc._Not Applicable,0.0,0.11455778989149498,MEU,Model 1,
Allergens - Wheat (Brazil definition) - Exception Value Desc._Not Reviewed,0.0,0.11417763043669202,MEU,Model 1,
Allergens - Cashew (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.11395582899446516,MEU,Model 1,
"Particle size tests - Particle size, >600µm (#30) - Max_0.0",0.0,0.11333602092783168,MEU,Model 1,
Allergens - Macadamia (Brazil definition) - Exception Value Desc._Not Reviewed,0.0,0.11227367390834292,MEU,Model 1,
"Particle size tests - Particle size, >630µm - Max_10.0",0.0,0.1103404981681091,MEU,Model 1,
Allergens - Macadamia (Brazil definition) - Exception Value Desc._Does Not Contain,0.0,0.11032334014887986,MEU,Model 1,
Quantitative - PH - Certificate of Analysis (CoA)_Not Applicable,0.0,0.10968604229179389,MEU,Model 1,
Quantitative - Solubility - Analytical Reference Method_ASTM E1148-02,0.0,0.10934963617509624,MEU,Model 1,
Allergens - Milk (Brazil definition) - Exception Value Desc._Not Reviewed,0.0,0.1092819145236894,MEU,Model 1,
ph,0.0,0.10517489862666317,MEU,Model 1,
"Particle size tests - Particle size, >630µm - Certificate of Analysis (CoA)_Not Applicable",0.0,0.1050327563511663,MEU,Model 1,
Diet Suitability - Suitable for Children under 3 years (EU) - Exception Value Desc._Yes,0.0,0.1039612555584833,MEU,Model 1,
"Particle size tests - Particle size, >150µm (#100) - TXT: Key Testing Details_DIN sieve",0.0,0.10289133050226018,MEU,Model 1,
Allergens - Banana (Japanese definition) - Exception Value Desc._Not Reviewed,0.0,0.10007275817201734,MEU,Model 1,
"Storage - Bag/Pouch/Sachet - Storage Condition_Dry Storage (+10 to 25 °C / 50 to 77 °F, Relative Humidity <=65%)",0.0,0.09796385403809926,MEU,Model 1,
Allergens - Egg (Brazil definition) - Exception Value Desc._Not Reviewed,0.0,0.09779090502423574,MEU,Model 1,
Quantitative - Oxalates - Certificate of Analysis (CoA)_Not Required,0.0,0.0948956885390976,MEU,Model 1,
Allergens - Added Sulphites - Exception Value Desc._Does Contain,0.0,0.0946343964176924,MEU,Model 1,
Diet Suitability - Organic Certified (EU) - Exception Value Desc._Yes,0.0,0.09426343415031378,MEU,Model 1,
"Particle size tests - Particle size, >630µm - Analytical Reference Method_Mechanical sieving:ISO2591;KJS784",0.0,0.09280364076827076,MEU,Model 1,
"Particle size tests - Particle size, >850µm (#20) - Max_0.0",0.0,0.09262261393863402,MEU,Model 1,
Quantitative - Assay (anhydrous basis) - Certificate of Analysis (CoA)_Required,0.0,0.09080128825209682,MEU,Model 1,
"Particle size tests - Particle size, >150µm (#100) - Certificate of Analysis (CoA)_Not Applicable",0.0,0.0897095946884842,MEU,Model 1,
Diet Suitability - Organic Certified (NA) - Exception Value Desc._Yes,0.0,0.0886983064821032,MEU,Model 1,
"Quantitative - Moisture, loss on drying - Certificate of Analysis (CoA)_Not Applicable",0.0,0.08718706805593267,MEU,Model 1,
