feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
Quantitative - Assay (anhydrous basis) - Max,0.0,1.0,MEU,Model 1,
Total Solids %,0.0,0.5886613951246726,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Total Shelf Life,0.0,0.5691195332674966,MEU,Model 1,
"Standard Composition - CITRIC ACID - Value, %",0.0,0.49728191398462734,MEU,Model 1,
Quantitative - Moisture - Max,0.0,0.28757755180030503,MEU,Model 1,
anhydrous,0.0,0.23133270125343394,MEU,Model 1,
acid,0.0,0.22375616447892935,MEU,Model 1,
others,0.0,0.210108617270435,MEU,Model 1,
colour,0.0,0.20665329403845167,MEU,Model 1,
"Quantitative - Ash, sulphated - Max",0.0,0.16733104551929273,MEU,Model 1,
citric,0.0,0.16422523920760668,MEU,Model 1,
eur,0.0,0.15434350025384194,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Min Remaining SL Upon Receipt,0.0,0.14285887932852334,MEU,Model 1,
additive,0.0,0.13410190435527297,MEU,Model 1,
water,0.0,0.13088039425560913,MEU,Model 1,
karl,0.0,0.12651754461205764,MEU,Model 1,
monohydrated,0.0,0.10789638798060869,MEU,Model 1,
comparision,0.0,0.10167679337421548,MEU,Model 1,
monograph,0.0,0.1016711226246089,MEU,Model 1,
fischer,0.0,0.10121089885858686,MEU,Model 1,
medium,0.0,0.09546422040084118,MEU,Model 1,
Quantitative - Sulphates - Max,0.0,0.09159884512482355,MEU,Model 1,
fine,0.0,0.0865267718792968,MEU,Model 1,
ph,0.0,0.07329743881762787,MEU,Model 1,
citricacid,0.0,0.0638701758462708,MEU,Model 1,
aocs,0.0,0.055222588218683276,MEU,Model 1,
encapsulated,0.0,0.05379971298632718,MEU,Model 1,
gran,0.0,0.05346161434882452,MEU,Model 1,
powder,0.0,0.053261714749928364,MEU,Model 1,
citricacidnon,0.0,0.053256260918450184,MEU,Model 1,
cformin,0.0,0.047254767646609096,MEU,Model 1,
gmo,0.0,0.04461017496558547,MEU,Model 1,
mediumgran,0.0,0.04206696479409366,MEU,Model 1,
min,0.0,0.039501939743784555,MEU,Model 1,
donot,0.0,0.039462639420999396,MEU,Model 1,
proposedharmonizeto,0.0,0.03908748975611949,MEU,Model 1,
fcc,0.0,0.038287350993916155,MEU,Model 1,
granular,0.0,0.030377097991077396,MEU,Model 1,
proposed,0.0,0.029201977842592673,MEU,Model 1,
harmonized,0.0,0.029083498692655464,MEU,Model 1,
