Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000002395,1.0000000000000002,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000006627,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000006843,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000006844,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000006846,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000007251,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000007732,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000007977,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000008049,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000001439,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000006808,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000000289,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000000616,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000000638,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000000723,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000005407,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000006653,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,6,6,6,5,200000006712,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000006627,1.0000000000000002,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000002395,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000006843,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000006844,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000006846,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000007251,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000007732,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000007977,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000008049,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000001439,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000006808,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000000289,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000000616,0.8149403589136139,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000000638,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000000723,0.8807413002108216,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000005407,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000006653,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006627,"ACID,CITRIC,50% SOLN",MEU,ward_euclidean,176334.0,302549.66485078516,0,3,0,2,200000006712,,,"ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN","ACID,CITRIC,50% SOLN"
200000006843,ACID-CITRIC ACID- ANHYDROUS-CRYSTALS,MEU,ward_euclidean,473550.0,966613.3889638338,5,5,5,0,200000006843,1.0000000000000004,,ACID,CITRIC ACID, ANHYDROUS,CRYSTALS
200000006843,ACID-CITRIC ACID- ANHYDROUS-CRYSTALS,MEU,ward_euclidean,473550.0,966613.3889638338,5,5,5,0,200000002395,,,ACID,CITRIC ACID, ANHYDROUS,CRYSTALS
200000006843,ACID-CITRIC ACID- ANHYDROUS-CRYSTALS,MEU,ward_euclidean,473550.0,966613.3889638338,5,5,5,0,200000006627,,,ACID,CITRIC ACID, ANHYDROUS,CRYSTALS
200000006843,ACID-CITRIC ACID- ANHYDROUS-CRYSTALS,MEU,ward_euclidean,473550.0,966613.3889638338,5,5,5,0,200000006844,,,ACID,CITRIC ACID, ANHYDROUS,CRYSTALS
