feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
Standard Composition - SUGAR - Value - %,0.0,1.0,MEU,Model 1,
"Nutrient Composition - Available Carbohydrate, g (MX calculation) - Value - %",0.0,0.42090439601417656,MEU,Model 1,
Food Safety Requirements - Sensitive–Maybe source of pathogens;ING/subcomponents have gone through validated pathogen reduction step - Contaminant Limits Required_No,0.0,0.3900543084314353,MEU,Model 1,
"Nutrient Composition - Available Carbohydrate, g - Value - %",0.0,0.34470709869643995,MEU,Model 1,
Food Safety Requirements - Sensitive–Maybe source of pathogens;ING/subcomponents have gone through validated pathogen reduction step - Contaminant Limits Required_Not Applicable,0.0,0.33674617672066415,MEU,Model 1,
"Nutrient Composition - Protein, g - Value - %",0.0,0.20594588657676494,MEU,Model 1,
"Nutrient Composition - Total Fat, g - Value - %",0.0,0.17948424811073288,MEU,Model 1,
Standard Composition - MILK - Value - %,0.0,0.14163389647407415,MEU,Model 1,
"Nutrient Composition - Moisture, g - Value - %",0.0,0.1255514306392642,MEU,Model 1,
"Qualitative - Sediment, scorched particles - Acceptance Criteria.1_Maximum disc B",0.0,0.10808758582147492,MEU,Model 1,
"Nutrient Composition - Lactose, g - Value - %",0.0,0.09784099627679058,MEU,Model 1,
"Quantitative - Density, bulk free flow - Max",0.0,0.09517936285091841,MEU,Model 1,
Food Safety Requirements - Sensitive–Maybe source of pathogens;ING/subcomponents have gone through validated pathogen reduction step - Contaminant Limits Required_Yes,0.0,0.09432580830042248,MEU,Model 1,
"Qualitative - Sediment, scorched particles - Acceptance Criteria.2_Maximum disc B",0.0,0.07332233806124386,MEU,Model 1,
"Qualitative - Sediment, scorched particles - Acceptance Criteria.1_Not Applicable",0.0,0.06613878817348692,MEU,Model 1,
Standard Composition - SALT - Value - %,0.0,0.05844940249194847,MEU,Model 1,
"Qualitative - Sediment, scorched particles - Acceptance Criteria_Maximum disc B",0.0,0.04585961170526367,MEU,Model 1,
"Qualitative - Sediment, scorched particles - Acceptance Criteria.2_Not Applicable",0.0,0.045016255265246115,MEU,Model 1,
Standard Composition - MICROBIAL RENNET - Value - %,0.0,0.038365574507515654,MEU,Model 1,
Standard Composition - STARTER CULTURE - Value - %,0.0,0.03782941480134668,MEU,Model 1,
Standard Composition - CREAM - Value - %_0.0,0.0,0.03300601248993537,MEU,Model 1,
Standard Composition - CREAM - Value - %_1.0,0.0,0.030223693706735524,MEU,Model 1,
Additional Particle Size Par - Particle Size D50 - Min_0.0,0.0,0.02718865663317901,MEU,Model 1,
"Qualitative - Sediment, scorched particles - Acceptance Criteria_Target disc A, Maximum disc B",0.0,0.026972882183368765,MEU,Model 1,
Standard Composition - CALCIUM CHLORIDE - Value - %,0.0,0.026925568523076805,MEU,Model 1,
Standard Composition - SWEETENED CONDENSED MILK - Value - %_0.6,0.0,0.025690509316095594,MEU,Model 1,
Standard Composition - LACTOSE AND MILK PROTEINS - Value - %,0.0,0.025561393120868737,MEU,Model 1,
"Qualitative - Sediment, scorched particles - Acceptance Criteria_Not Applicable",0.0,0.024721211035379033,MEU,Model 1,
Standard Composition - RAPESEED OIL - Value - %_0.0,0.0,0.023881001698760083,MEU,Model 1,
Standard Composition - DEHYDRATED CREAM (FROM MILK) - Value - %_0,0.0,0.02349648742245438,MEU,Model 1,
Additional Particle Size Par - Particle Size D90 - Min_0.0,0.0,0.02141912427229938,MEU,Model 1,
Standard Composition - YOGURT - Value - %,0.0,0.02134326887818182,MEU,Model 1,
Standard Composition - WHEY - Value - %,0.0,0.020572792952323306,MEU,Model 1,
Standard Composition - SKIM MILK - Value - %,0.0,0.018748640674992306,MEU,Model 1,
Standard Composition - YOGURT POWDER - Value - %,0.0,0.01858179059863422,MEU,Model 1,
Additional Particle Size Par - Particle size D10 - Min_0.0,0.0,0.018065702412338455,MEU,Model 1,
"Quantitative - Density, bulk tapped - Max",0.0,0.016907552282182055,MEU,Model 1,
Standard Composition - WATER - Value - %,0.0,0.016521359444265728,MEU,Model 1,
Standard Composition - NATURAL FLAVOR - Value - %,0.0,0.01636227026190586,MEU,Model 1,
Additional Particle Size Par - Particle size D10 - Min_10.0,0.0,0.016322852385890638,MEU,Model 1,
Standard Composition - BUTTER - Value - %,0.0,0.0157884426636315,MEU,Model 1,
Standard Composition - MILKFAT - Value - %_1.0,0.0,0.015272862714098053,MEU,Model 1,
Standard Composition - MILK MINERALS - Value - %_0,0.0,0.014943427773700495,MEU,Model 1,
