feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
Food Safety Requirements - Sensitive–Maybe source of pathogens;ING/subcomponents have gone through validated pathogen reduction step - Contaminant Limits Required_Yes,0.0,1.0,MEU,Model 1,
"Nutrient Composition - Total Fat, g - Value - %",0.0,0.9969903529551735,MEU,Model 1,
"Nutrient Composition - Lactose, g - Value - %",0.0,0.8351995812852259,MEU,Model 1,
cheese,0.0,0.7485408747055491,MEU,Model 1,
Food Safety Requirements - Sensitive–Maybe source of pathogens;ING/subcomponents have gone through validated pathogen reduction step - Contaminant Limits Required_Not Applicable,0.0,0.7251876276818603,MEU,Model 1,
"Nutrient Composition - Available Carbohydrate, g - Value - %",0.0,0.6944769966368961,MEU,Model 1,
Standard Composition - TRICALCIUM ORTHOPHOSPHATE - Value - %,0.0,0.5675078308263691,MEU,Model 1,
Standard Composition - MILK - Value - %,0.0,0.5412383128589107,MEU,Model 1,
"Nutrient Composition - Available Carbohydrate, g (MX calculation) - Value - %",0.0,0.43881664935985465,MEU,Model 1,
clean,0.0,0.4253495957723776,MEU,Model 1,
"Qualitative - Sediment, scorched particles - Acceptance Criteria_Not Applicable",0.0,0.4219506300841821,MEU,Model 1,
otherdairy,0.0,0.40946870221589016,MEU,Model 1,
othernaturalcheese,0.0,0.40549202134966156,MEU,Model 1,
"Nutrient Composition - Moisture, g - Value - %",0.0,0.36140450662500484,MEU,Model 1,
dairy,0.0,0.35789512872186013,MEU,Model 1,
Food Safety Requirements - Sensitive–Maybe source of pathogens;ING/subcomponents have gone through validated pathogen reduction step - Contaminant Limits Required_No,0.0,0.3344578300082697,MEU,Model 1,
"Qualitative - Sediment, scorched particles - Acceptance Criteria_Maximum disc B",0.0,0.3184820063141417,MEU,Model 1,
milk,0.0,0.3150107907507223,MEU,Model 1,
sweet,0.0,0.29985472454728374,MEU,Model 1,
Standard Composition - DRIED CREAM CHEESE - Value - %_0.67,0.0,0.29687505111569235,MEU,Model 1,
Standard Composition - MICROBIAL RENNET - Value - %,0.0,0.2889167080135605,MEU,Model 1,
"Qualitative - Sediment, scorched particles - Acceptance Criteria.1_Maximum disc B",0.0,0.28645667089201376,MEU,Model 1,
"Nutrient Composition - Protein, g - Value - %",0.0,0.28538411328934854,MEU,Model 1,
treated,0.0,0.25204330588554613,MEU,Model 1,
Standard Composition - CREAM - Value - %_1.0,0.0,0.2391993905444457,MEU,Model 1,
Standard Composition - SUGAR - Value - %,0.0,0.233082031092182,MEU,Model 1,
liquiddairy,0.0,0.22731844750558497,MEU,Model 1,
free,0.0,0.22728924368837472,MEU,Model 1,
naturalcheese,0.0,0.2082736523251147,MEU,Model 1,
wholemilk,0.0,0.2044955946642211,MEU,Model 1,
"Qualitative - Sediment, scorched particles - Acceptance Criteria.2_Not Applicable",0.0,0.20273263831619223,MEU,Model 1,
natural,0.0,0.20115908539928312,MEU,Model 1,
foreign,0.0,0.20112874450183812,MEU,Model 1,
typical,0.0,0.19294800975996096,MEU,Model 1,
"Quantitative - Density, bulk free flow - Max",0.0,0.19239879715049754,MEU,Model 1,
homogeneous,0.0,0.17641416988997907,MEU,Model 1,
similar,0.0,0.1753395015437588,MEU,Model 1,
block,0.0,0.173544373522077,MEU,Model 1,
Additional Particle Size Par - Particle Size D50 - Min_0.0,0.0,0.1734861350416044,MEU,Model 1,
Standard Composition - SKIM MILK - Value - %,0.0,0.1720599209403252,MEU,Model 1,
meals,0.0,0.16937260694611578,MEU,Model 1,
Standard Composition - BUTTER - Value - %,0.0,0.16852125010254607,MEU,Model 1,
