Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000005962,1.0,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000006621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000006795,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000007175,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000008130,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000001621,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000001702,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000007027,0.9165373142746408,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000007318,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000001219,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000006483,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000006730,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000008342,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000000488,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000003062,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000006620,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000006845,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000007801,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000008195,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000002076,0.8573555245855737,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000005462,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000006809,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000006831,,,Ingredient,Other Ingredients,Acids,Other Acids
200000005962,Acid- Malic Acid,Global,ward_euclidean,21075.0,81954.3280410785,6,1,2,3,200000007152,,,Ingredient,Other Ingredients,Acids,Other Acids
