Specification Number,Color vs speckle,art vs non-art,pigment,hue,form,form2,water vs oil soluble,"H2 2021 - H1 2022 volume - NA, KG","H2 2021 - H1 2022 volume - MEU, KG","H2 2021 - H1 2022 volume - LA, KG","H2 2021 - H1 2022 volume - AMEA, KG","H2 2021 - H1 2022 spend - NA, USD","H2 2021 - H1 2022 spend - MEU, USD","H2 2021 - H1 2022 spend - LA, USD","H2 2021 - H1 2022 spend - AMEA, USD","H2 2021 - H1 2022 average price - NA, USD/ton","H2 2021 - H1 2022 average price - MEU, USD/ton","H2 2021 - H1 2022 average price - LA, USD/ton","H2 2021 - H1 2022 average price - AMEA, USD/ton",Buy Menu Card - NA - Menu Card Color,Buy Menu Card - MEU - Menu Card Color,Buy Menu Card - LA - Menu Card Color,Buy Menu Card - AMEA - Menu Card Color,Specification description,Classification
200000000231,Colors,Artificial,titanium dioxide,,powder,,,0,0,0,58600,0,0,0,383567.3,,,,6545.517065,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),"Titanium Dioxide Color-Pwd-PROPOSED TO HARMONISED TO 10016980 PROHIBITED IN FOODS IN EU, DO NOT USE IN NEW DEV – see notes",Ingredient-Other Ingredients-Colors-Artificial
200000000673,Colors,Artificial,carmine,red,liquid,,,0,0,0,0,0,0,0,0,,,,,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,RED - Do not re-use,Color-Oil Dispersible Carmine,Ingredient-Other Ingredients-Colors-Artificial
200000001267,Colors,Artificial,chlorophyll & chlorophyllins,,liquid,,water soluble,0,20,0,0,0,491.2534002,0,0,,24562.67001,,,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,RED - Do not re-use,MEALS ONLY-Colourant-Liquid-Copper chlorophyllin,Ingredient-Other Ingredients-Colors-Artificial
200000001288,Colors,Non Artificial,paprika extract,,liquid,,,0,60,0,0,0,1352.40695,0,0,,22540.11583,,,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,COLOR-PAPRIKA EXTRACT-E160c,Ingredient-Other Ingredients-Colors-Non Artificial
200000001519,Colors,Non Artificial,curcumin / turmeric,yellow,powder,,,0,4120,0,0,0,62008.65593,0,0,,15050.64464,,,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,RED - Do not re-use,MEALS ONLY-Colour-powder-Curcumin-natural,Ingredient-Other Ingredients-Colors-Non Artificial
200000002108,Colors,Non Artificial,caramel,brown,liquid,,,0,8918,0,0,0,70415.32898,0,0,,7895.865551,,,GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),Food Colour-Fruitmax date-Liquid-Natural,Ingredient-Other Ingredients-Colors-Non Artificial
200000002361,Colors,Non Artificial,carmine,red,powder,lake,water soluble,0,380,75,0,0,83079.51525,15028.48459,0,,218630.3033,200379.7945,,RED - Do not re-use,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,Color-Carmine-Powder- Hydrosoluble - 50%,Ingredient-Other Ingredients-Colors-Non Artificial
200000002419,Colors,Artificial, GLYCEROL ,,liquid,,,0,12300,0,0,0,140743.2188,0,0,,11442.53811,,,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,RED - Do not re-use,Color-liquid-betacarotene-E160a(i),Ingredient-Other Ingredients-Colors-Artificial
200000002440,Speckles,Speckles or Glitters,black carrot,black,liquid,,water soluble,0,560,0,0,0,9886.428676,0,0,,17654.33692,,,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,COLOR-BACON-BLACK CARROT,Ingredient-Other Ingredients-Colors-Speckles or Glitters
200000002865,Colors,Non Artificial,carmine,red,liquid,,water soluble,0,3600,0,0,0,50907.54081,0,0,,14140.98356,,,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,COLOR-LIQUID-BACON CARMINE PAPRIKA MIX,Ingredient-Other Ingredients-Colors-Non Artificial
