Attributes_list
Quantitative - Moisture - Max
"Particle size tests - Particle size, >125µm (#120) - Max"
"Particle size tests - Particle size, >500µm (#35) - Max"
"Particle size tests - Particle size, >300µm (#50) - Max"
"Particle size tests - Particle size, >106µm (#140) - Max"
"Particle size tests - Particle size, residue on pan - Max"
"Quantitative - Moisture, loss on drying - Max"
"Particle size tests - Particle size, >150µm (#100) - Max"
"Particle size tests - Particle size, >200µm - Max"
"Particle size tests - Particle size, >75µm (#200) - Max"
"Quantitative - Moisture, loss on drying - Certificate of Analysis (CoA)"
Quantitative - Moisture - Certificate of Analysis (CoA)
"Quantitative - Moisture, loss on drying - Minimum Testing Frequency"
Quantitative - Moisture - Minimum Testing Frequency
"Particle size tests - Particle size, >2.5mm - Minimum Testing Frequency"
"Particle size tests - Particle size, >850µm (#20) - Minimum Testing Frequency"
"Particle size tests - Particle size, >500µm (#35) - Minimum Testing Frequency"
"Particle size tests - Particle size, >200µm - Minimum Testing Frequency"
"Particle size tests - Particle size, >150µm (#100) - Minimum Testing Frequency"
"Particle size tests - Particle size, >300µm (#50) - Minimum Testing Frequency"
"Particle size tests - Particle size, >250µm (#60) - Minimum Testing Frequency"
"Particle size tests - Particle size, >600µm (#30) - Minimum Testing Frequency"
"Particle size tests - Particle size, >125µm (#120) - Minimum Testing Frequency"
"Particle size tests - Particle size, >106µm (#140) - Minimum Testing Frequency"
"Particle size tests - Particle size, >75µm (#200) - Minimum Testing Frequency"
"Particle size tests - Particle size, residue on pan - Minimum Testing Frequency"
"Particle size tests - Particle size, >2.5mm - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >850µm (#20) - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >500µm (#35) - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >200µm - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >150µm (#100) - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >300µm (#50) - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >400µm - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >250µm (#60) - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >212µm (#70) - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >600µm (#30) - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >355µm (#45) - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >125µm (#120) - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >106µm (#140) - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >63µm (#230) - Certificate of Analysis (CoA)"
"Particle size tests - Particle size, >75µm (#200) - Certificate of Analysis (CoA)"
