,Specification Number,Specification description,Region,Type,Volume,Spend,Cluster name,Level 0,Level 1,Level 2,Level 3,Level 4,nc_Model 1,nc_Model 2,nc_Model 3,nc_Model 4,nt_Model 1,nt_Model 2,nt_Model 3,nct_Model 1,nct_Model 2,nct_Model 3,nct_Model 4
0,200000000032,Sweetener-Sugar-Crystal-Medium-Category 2,Global,ward_euclidean,29255813.0,16587775.58718667,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,45,29,45,45,53,13,53,49,10,49,63
1,200000000618,Sweetener-Crystal Sugar Coarse,Global,ward_euclidean,68356174.7,40893723.52915663,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,55,33,55,51,36,23,36,53,14,53,55
2,200000000983,SUGAR C K1,Global,ward_euclidean,2387380.0,1215083.3781479194,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,53,1,53,43,6,2,6,55,16,55,79
3,200000002530,SUGAR-DRY-REFINED-FINE GRANULAR,Global,ward_euclidean,9855000.0,4313943.697887394,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,42,27,42,2,37,1,37,41,40,41,64
4,200000002834,SUGAR - VHP CHOC,Global,ward_euclidean,9492000.0,7066947.16689314,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,37,16,37,35,31,19,31,37,30,37,47
5,200000002993,Sugar-Crystal-Fine-Category 2,Global,ward_euclidean,4887960.0,2688434.6508499444,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,50,8,50,46,3,6,3,50,2,50,68
6,200000003701,EXTRA FINE SUGAR,Global,ward_euclidean,1425500.0,718091.1083159867,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,36,38,36,41,47,2,47,36,38,36,77
7,200000005523,SUGAR,Global,ward_euclidean,1288000.0,644874.648405058,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,12,0,12,7,22,1,22,12,1,15,1
8,200000005888,Sugar-Grain-Crystal-Semi White,Global,ward_euclidean,43416095.5,20233733.748724252,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,5,6,5,3,48,27,48,26,34,26,66
9,200000005979,Sugar-Dry- Refined- Extra fine granular,Global,ward_euclidean,36641920.0,22900339.314650383,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,49,35,49,37,51,28,51,24,25,24,60
10,200000006884,WHITE CRYSTAL SUGAR,Global,ward_euclidean,37290200.0,22261507.63778097,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,7,1,7,7,2,2,2,16,16,16,80
11,200000006976,"SWT,REFINED WHITE SUGAR (BULK)",Global,ward_euclidean,12290000.0,8622035.779886292,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,51,19,51,30,6,1,6,29,26,59,49
12,200000007914,SUGAR CASTER N 2,Global,ward_euclidean,2797380.0,1504156.8681736658,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,41,13,41,29,6,2,6,39,44,39,73
13,200000008083,SUGAR POWDERED REFINED A,Global,ward_euclidean,82290.0,52293.2888952455,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,61,28,61,38,24,16,24,31,12,63,57
14,200000008226,DARK BROWN CANE SUGAR-POWDER-MUSCOVADO,Global,ward_euclidean,60000.0,76087.89804117262,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,1,1,1,39,33,1,33,25,1,5,58
15,200000010430,"SUGAR EU No.2 – 45 Icumsa, standard harmonized",Global,ward_euclidean,399399721.0,217966241.6683966,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,6,8,6,34,35,6,35,7,2,1,50
16,200000000023,Sugar - Grade #1,Global,ward_euclidean,57410250.0,45494953.70652503,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,3,2,3,8,8,26,8,0,5,2,85
17,200000000086,Sugar-Premium Grade plus,Global,ward_euclidean,3625000.0,3082557.4975234102,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,38,20,38,14,45,26,45,33,33,33,53
18,200000000597,SWEETENER-GRANULATED-SUGAR,Global,ward_euclidean,29246500.0,18074932.662354082,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,56,36,56,0,34,15,34,54,24,54,51
19,200000001163,"Sugar, Refined Graded",Global,ward_euclidean,138240.0,106357.0046768043,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,8,9,8,1,10,4,10,8,20,8,65
20,200000001165,"Sugar, Refined, Caster, Bag",Global,ward_euclidean,958200.0,718471.4191393153,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,48,43,48,47,9,2,9,48,16,48,75
21,200000001558,"DO NOT USE_Sugar, White, Discontinued",Global,ward_euclidean,53557542.0,36464867.397126704,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,0,0,0,7,2,9,2,4,20,14,61
22,200000001560,"DO NOT USE_Sugar, 1A, Manu Grade, 25kg",Global,ward_euclidean,42800.0,31020.486826289613,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,8,9,8,1,10,9,10,8,20,8,69
23,200000001909,SUGAR-EXTRA-FINE-REFINED,Global,ward_euclidean,9369500.0,5132037.013405174,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,57,25,57,28,52,34,52,43,18,43,83
24,200000001967,"Sweetener, Sugar, Granulated",Global,ward_euclidean,10624900.0,5382992.2589157,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,58,22,58,42,54,4,54,2,13,57,6
